task,mode,Classifier,Feature Set,score,Bal Acc val,Spearman val,Train Acc,Val AUC
stance,classifier_nocoral,LogisticRegression,Latent,0.56838,0.5684,0.0832,0.8523,0.5214
stance,classifier_nocoral,GradientBoosting,Combined,0.54701,0.547,0.1364,1.0,0.5171
stance,classifier_nocoral,LogisticRegression,Combined,0.51923,0.5192,0.1312,0.8636,0.5641
stance,classifier_nocoral,GradientBoosting,Handcrafted,0.50855,0.5085,-0.0929,1.0,0.4573
stance,classifier_nocoral,GradientBoosting,Latent,0.49786,0.4979,0.2173,1.0,0.547
stance,classifier_nocoral,RandomForest,Latent,0.49145,0.4915,0.1532,0.8523,0.4829
stance,classifier_nocoral,RandomForest,Combined,0.45299,0.453,0.0186,0.8864,0.4231
stance,classifier_nocoral,RandomForest,Handcrafted,0.42521,0.4252,0.0301,0.7955,0.547
stance,classifier_nocoral,LogisticRegression,Handcrafted,0.38675,0.3868,-0.1958,0.6477,0.3974
