task,mode,Classifier,Feature Set,score,Bal Acc val,Spearman val,Train Acc,Val AUC
walk,autoencoder_nocoral,RandomForest,Latent,0.6,0.6,0.2219,0.9091,0.5852
walk,autoencoder_nocoral,RandomForest,Combined,0.6,0.6,0.2837,0.9242,0.6074
walk,autoencoder_nocoral,GradientBoosting,Latent,0.57778,0.5778,0.0936,1.0,0.5185
walk,autoencoder_nocoral,LogisticRegression,Handcrafted,0.57778,0.5778,0.0287,0.6061,0.5185
walk,autoencoder_nocoral,GradientBoosting,Handcrafted,0.56667,0.5667,0.2682,1.0,0.6444
walk,autoencoder_nocoral,RandomForest,Handcrafted,0.55556,0.5556,0.3521,0.8636,0.6593
walk,autoencoder_nocoral,LogisticRegression,Latent,0.51111,0.5111,0.1937,0.7576,0.5926
walk,autoencoder_nocoral,LogisticRegression,Combined,0.5,0.5,0.1026,0.7727,0.5259
walk,autoencoder_nocoral,GradientBoosting,Combined,0.48889,0.4889,0.0714,1.0,0.4889
