Balanced Acc,ROC-AUC,Precision,Recall (PD),Spec. (HC),F1,TP,TN,FP,FN,Dataset,N,Task coverage
0.7583,0.7167,0.75,0.6,0.9167,0.6667,3,11,1,2,wearpd,17,both
0.4,0.2,0.6667,0.8,0.0,0.7273,4,0,2,1,omnia_park,7,both
0.625,0.625,0.4,1.0,0.25,0.5714,2,1,3,0,kiel,6,both
