task,mode,Classifier,Feature Set,score,Bal Acc val,Spearman val,Train Acc,Val AUC
walk,classifier_nocoral,GradientBoosting,Latent,0.7,0.7,0.2878,1.0,0.6222
walk,classifier_nocoral,LogisticRegression,Combined,0.67778,0.6778,0.2495,0.8182,0.6296
walk,classifier_nocoral,RandomForest,Latent,0.63333,0.6333,0.3265,0.8636,0.637
walk,classifier_nocoral,RandomForest,Combined,0.61111,0.6111,0.2812,0.8939,0.6
walk,classifier_nocoral,GradientBoosting,Combined,0.61111,0.6111,0.2063,1.0,0.5852
walk,classifier_nocoral,LogisticRegression,Latent,0.61111,0.6111,0.241,0.8636,0.6148
walk,classifier_nocoral,LogisticRegression,Handcrafted,0.57778,0.5778,0.0287,0.6061,0.5185
walk,classifier_nocoral,GradientBoosting,Handcrafted,0.56667,0.5667,0.2682,1.0,0.6444
walk,classifier_nocoral,RandomForest,Handcrafted,0.55556,0.5556,0.3521,0.8636,0.6593
