task,mode,Classifier,Feature Set,score,Bal Acc val,Spearman val,Train Acc,Val AUC
walk,autoencoder_coral,GradientBoosting,Latent,0.67778,0.6778,0.3723,1.0,0.7037
walk,autoencoder_coral,RandomForest,Combined,0.64444,0.6444,0.4025,0.9394,0.7111
walk,autoencoder_coral,GradientBoosting,Combined,0.64444,0.6444,0.3723,1.0,0.7185
walk,autoencoder_coral,RandomForest,Latent,0.62222,0.6222,0.4175,0.9242,0.7259
walk,autoencoder_coral,RandomForest,Handcrafted,0.6,0.6,0.1273,0.8333,0.5407
walk,autoencoder_coral,LogisticRegression,Combined,0.6,0.6,0.0302,0.7121,0.5111
walk,autoencoder_coral,LogisticRegression,Handcrafted,0.57778,0.5778,0.0397,0.5455,0.5407
walk,autoencoder_coral,LogisticRegression,Latent,0.56667,0.5667,0.0402,0.6667,0.5185
walk,autoencoder_coral,GradientBoosting,Handcrafted,0.46667,0.4667,0.1323,1.0,0.5481
